Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3,motor_torq_1,motor_torq_2,motor_torq_3
18852436,-0.0196,-0.0655,-0.0058,0.0608,0.0484,0.2300,0.2300,-0.2300,-0.0000,-0.0000,-0.0073,0.0613,0.0043,-0.0163,-0.0095,-0.0009,-0.0004,0.0034,0.1037,-0.0045,0.0794
18856994,-0.0197,-0.0654,-0.0058,0.0602,0.0460,0.2300,0.2300,-0.2300,-0.0001,-0.0001,-0.0129,0.0571,0.0700,0.0116,-0.0282,-0.0007,-0.0001,0.0032,0.0173,0.0055,-0.0158
18861994,-0.0197,-0.0654,-0.0211,0.0464,0.0469,0.2300,0.2300,-0.2300,-0.0004,-0.0004,-0.0512,-0.1015,0.7704,1.4336,-0.4827,0.0020,0.0059,0.0015,0.0349,0.0365,-0.0345
18866994,-0.0197,-0.0655,-0.0192,0.0318,0.0329,0.2300,0.2300,-0.2300,-0.0009,-0.0009,-0.1069,-0.2865,1.6113,2.7647,-1.3519,0.0117,0.0173,-0.0058,0.0798,0.0855,-0.0740
18871994,-0.0198,-0.0657,-0.0076,0.0180,-0.0472,0.2300,0.2300,-0.2300,-0.0015,-0.0015,-0.1300,-0.2558,1.6554,2.1186,-1.4222,0.0178,0.0306,-0.0117,0.1148,0.1138,-0.1224
18876994,-0.0197,-0.0654,-0.0125,0.0837,-0.1684,0.2300,0.2300,-0.2300,-0.0026,-0.0026,-0.2113,-0.1885,2.8198,2.4686,-1.0651,0.0350,0.0403,-0.0186,0.1390,0.1482,-0.1454
18881994,-0.0197,-0.0650,0.0079,0.1335,-0.2222,0.2300,0.2300,-0.2300,-0.0033,-0.0033,-0.1321,-0.2369,3.1152,4.1149,-0.7003,0.0473,0.0624,-0.0215,0.1828,0.1647,-0.1910
18886994,-0.0197,-0.0641,0.0330,0.2037,-0.2649,0.2300,0.2300,-0.2300,-0.0040,-0.0040,-0.1430,-0.2706,4.4858,5.8439,-0.3349,0.0724,0.0856,-0.0235,0.2184,0.1950,-0.2307
18891994,-0.0195,-0.0631,0.0861,0.2126,-0.3224,0.2300,0.2300,-0.2300,-0.0042,-0.0042,-0.0361,-0.5022,5.6045,9.2328,-0.0755,0.0949,0.1367,-0.0240,0.2205,0.1988,-0.2356
18896994,-0.0192,-0.0619,0.1271,0.2498,-0.4152,0.2300,0.2300,-0.2300,-0.0040,-0.0040,0.0220,-0.6210,6.4511,11.3488,0.0119,0.1329,0.1821,-0.0239,0.2219,0.2001,-0.2317
18901994,-0.0185,-0.0604,0.1515,0.2599,-0.5444,0.2300,0.2300,-0.2300,-0.0037,-0.0037,0.0760,-0.7908,7.2212,13.6721,0.0038,0.1617,0.2615,-0.0239,0.2214,0.2095,-0.2301
18906994,-0.0178,-0.0593,0.1713,0.2605,-0.6098,0.2300,0.2300,-0.2300,-0.0034,-0.0034,0.0565,-0.9239,8.4846,15.4200,0.0165,0.2115,0.3229,-0.0239,0.2135,0.2085,-0.2301
18911994,-0.0170,-0.0578,0.2098,0.3338,-0.6657,0.1991,0.2300,-0.2300,-0.0024,-0.0024,0.2016,-1.1447,9.1355,19.2441,0.0348,0.2478,0.4333,-0.0238,0.2222,0.1968,-0.2296
18916994,-0.0160,-0.0559,0.2489,0.4142,-0.6840,0.1570,0.2300,-0.2300,-0.0010,-0.0010,0.2838,-1.3538,10.4189,22.9605,0.0095,0.3092,0.5244,-0.0238,0.2046,0.1937,-0.2298
18921994,-0.0146,-0.0537,0.3519,0.4432,-0.6684,0.0710,0.2300,-0.2300,0.0024,0.0024,0.6653,-1.8299,10.4540,29.4594,-0.0072,0.3511,0.6943,-0.0238,0.1947,0.1820,-0.2303
