Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3,motor_torq_1,motor_torq_2,motor_torq_3
152498436,-0.0011,-0.0970,-0.0113,0.0403,-0.0328,0.0250,0.2300,-0.2300,-0.0001,-0.0001,-0.0133,0.0419,0.0127,-0.0206,0.0000,25.7593,-24.8282,-25.2565,-0.0472,-0.0012,-0.0046
152501995,-0.0012,-0.0970,-0.0122,0.0357,-0.0426,0.0272,0.2300,-0.2300,-0.0001,-0.0001,-0.0111,0.0365,-0.0086,-0.0017,0.0078,25.7593,-24.8281,-25.2564,0.0028,0.0064,-0.0017
152506994,-0.0015,-0.0970,-0.0183,0.0345,-0.0414,0.0359,0.2300,-0.2300,-0.0005,-0.0005,-0.0764,-0.0366,0.6581,0.4894,-0.4256,25.7618,-24.8265,-25.2582,0.0238,0.0222,-0.0366
152511996,-0.0016,-0.0967,-0.0153,0.0278,-0.0429,0.0357,0.2300,-0.2300,-0.0004,-0.0004,0.0156,-0.3510,0.6184,3.4925,-1.3804,25.7645,-24.8101,-25.2639,0.0318,0.0465,-0.0558
152516994,-0.0016,-0.0967,0.0156,-0.0058,-0.0401,0.0183,0.2300,-0.2300,0.0001,0.0001,0.1070,-0.4583,0.3926,4.4443,-1.3760,25.7680,-24.7905,-25.2725,0.0387,0.1163,-0.1064
152521996,-0.0017,-0.0967,-0.0034,0.0360,-0.1525,0.0269,0.2300,-0.2300,0.0005,0.0005,0.0683,-0.3490,0.2236,3.5854,-1.3667,25.7688,-24.7703,-25.2779,0.0208,0.1343,-0.1500
152526996,-0.0018,-0.0964,0.0367,0.0678,-0.1983,0.0029,0.2300,-0.2300,0.0011,0.0011,0.1180,-0.3157,0.0548,3.5057,-1.4265,25.7693,-24.7563,-25.2858,0.0252,0.1761,-0.1696
152531996,-0.0020,-0.0957,-0.0003,0.1555,-0.1400,0.0313,0.2300,-0.2300,0.0013,0.0013,0.0417,-0.2875,0.5042,3.9118,-1.7861,25.7714,-24.7340,-25.2928,0.0121,0.2100,-0.2086
152536994,-0.0019,-0.0949,0.0189,0.2123,-0.1464,0.0173,0.2300,-0.2300,0.0016,0.0016,0.0654,-0.3531,0.3910,4.6280,-2.6436,25.7742,-24.7156,-25.3073,0.0201,0.2221,-0.2236
152541996,-0.0022,-0.0935,-0.0272,0.2514,-0.1767,0.0485,0.2300,-0.2300,0.0014,0.0014,-0.0451,-0.4535,1.2827,5.7365,-3.3293,25.7788,-24.6823,-25.3207,0.0176,0.2229,-0.2227
152546994,-0.0023,-0.0921,-0.0281,0.2556,-0.1965,0.0506,0.2300,-0.2300,0.0011,0.0011,-0.0459,-0.5647,1.2251,6.4149,-4.1357,25.7866,-24.6566,-25.3448,0.0282,0.2183,-0.2216
152551996,-0.0026,-0.0909,-0.0269,0.2789,-0.2151,0.0551,0.2300,-0.2300,0.0007,0.0007,-0.0787,-0.6170,1.9513,7.2952,-4.2290,25.7940,-24.6136,-25.3618,0.0463,0.2210,-0.2277
152556995,-0.0030,-0.0895,-0.0382,0.3170,-0.2393,0.0682,0.2300,-0.2300,0.0005,0.0005,-0.0551,-0.6544,1.8482,8.0823,-4.4147,25.8064,-24.5818,-25.3880,0.0552,0.2164,-0.2290
152561996,-0.0033,-0.0880,-0.0003,0.3152,-0.2494,0.0501,0.2300,-0.2300,0.0010,0.0010,0.1104,-0.8079,1.6355,10.3462,-4.1055,25.8128,-24.5225,-25.4045,0.0669,0.2172,-0.2318
152566994,-0.0033,-0.0862,0.0541,0.3882,-0.2115,0.0193,0.2300,-0.2300,0.0021,0.0021,0.2141,-0.8068,1.9900,11.7825,-3.5964,25.8248,-24.4754,-25.4269,0.0527,0.2100,-0.2332
152571995,-0.0030,-0.0844,0.0956,0.3830,-0.2368,-0.0110,0.2300,-0.2300,0.0041,0.0041,0.4092,-0.9112,1.4067,13.6013,-3.0544,25.8305,-24.3953,-25.4391,0.0479,0.2095,-0.2340
152576994,-0.0023,-0.0823,0.1274,0.4087,-0.2726,-0.0447,0.2300,-0.2300,0.0070,0.0070,0.5700,-0.8748,0.4362,13.9900,-2.5233,25.8342,-24.3394,-25.4543,0.0121,0.2182,-0.2347
152581996,-0.0015,-0.0805,0.1393,0.4056,-0.2823,-0.0664,0.2300,-0.2300,0.0104,0.0104,0.6815,-0.9237,-0.2994,14.6508,-2.4490,25.8331,-24.2511,-25.4639,-0.0231,0.2214,-0.2299
152586995,-0.0010,-0.0784,0.0874,0.4423,-0.2900,-0.0466,0.2300,-0.2300,0.0139,0.0139,0.7117,-0.9247,-1.5938,14.4409,-3.1389,25.8232,-24.1933,-25.4817,-0.0411,0.2319,-0.2274
152591996,-0.0004,-0.0762,0.1087,0.4866,-0.2240,-0.0667,0.2300,-0.2300,0.0168,0.0168,0.5682,-0.9747,0.0458,14.8703,-3.9199,25.8234,-24.1041,-25.4972,-0.0670,0.2340,-0.2198
152596994,-0.0004,-0.0737,0.0412,0.4759,-0.2420,-0.0277,0.2300,-0.2300,0.0181,0.0181,0.2705,-1.1413,1.1312,14.3223,-6.4718,25.8297,-24.0465,-25.5330,-0.0704,0.2326,-0.2063
152601994,-0.0002,-0.0713,0.0425,0.5223,-0.3877,-0.0369,0.2300,-0.2300,0.0190,0.0190,0.1648,-1.1421,0.6531,12.8444,-8.5560,25.8326,-23.9682,-25.5672,-0.0603,0.2392,-0.2064
152606994,-0.0006,-0.0687,-0.1072,0.5162,-0.3697,0.0604,0.2300,-0.2300,0.0179,0.0179,-0.2040,-1.2074,1.2147,11.2516,-10.9109,25.8386,-23.9228,-25.6290,-0.0388,0.2464,-0.2021
152611996,-0.0014,-0.0662,-0.1735,0.5397,-0.4118,0.1126,0.2300,-0.2300,0.0158,0.0158,-0.4292,-1.2941,1.4558,10.3568,-13.2218,25.8444,-23.8615,-25.6817,-0.0194,0.2368,-0.1978
152616996,-0.0027,-0.0635,-0.2373,0.5843,-0.4063,0.1746,0.2300,-0.2300,0.0125,0.0125,-0.6510,-1.4353,2.3728,10.6890,-15.2764,25.8576,-23.8186,-25.7714,-0.0014,0.2282,-0.2123
152621996,-0.0044,-0.0601,-0.3015,0.6457,-0.4567,0.2300,0.2300,-0.2300,0.0081,0.0081,-0.8920,-1.4642,3.3105,10.2131,-16.9094,25.8705,-23.7570,-25.8387,0.0370,0.2336,-0.2099
152626994,-0.0063,-0.0572,-0.3314,0.5919,-0.4873,0.2300,0.2300,-0.2300,0.0018,0.0018,-1.2662,-1.6799,6.7476,10.9171,-18.2931,25.9066,-23.7137,-25.9505,0.0714,0.2212,-0.2259
152631996,-0.0083,-0.0541,-0.3470,0.6509,-0.3786,0.2300,0.2300,-0.2300,-0.0032,-0.0032,-0.9905,-1.6712,5.7222,13.5416,-16.3264,25.9305,-23.6360,-26.0156,0.1158,0.2055,-0.2444
152636994,-0.0098,-0.0508,-0.2392,0.6781,-0.3889,0.2300,0.2300,-0.2300,-0.0055,-0.0055,-0.4640,-1.5305,5.0205,16.9287,-11.5113,25.9610,-23.5692,-26.0919,0.1550,0.1828,-0.2741
152641995,-0.0104,-0.0472,-0.0779,0.7303,-0.1678,0.2267,0.2300,-0.2300,-0.0046,-0.0046,0.1923,-1.6955,5.0856,24.1164,-7.1685,25.9812,-23.4325,-26.1207,0.1919,0.1776,-0.2837
152646995,-0.0098,-0.0432,0.1549,0.8286,-0.0618,0.0819,0.2236,-0.2300,-0.0005,-0.0005,0.8182,-1.6760,5.4853,29.5466,-2.7870,26.0134,-23.3152,-26.1399,0.2118,0.1583,-0.2744
152651994,-0.0084,-0.0391,0.3146,0.8164,-0.1843,-0.0429,0.2229,-0.2013,0.0064,0.0064,1.3769,-2.3272,5.6264,38.3316,-2.2313,26.0364,-23.0936,-26.1485,0.2151,0.1248,-0.2438
