Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3,motor_torq_1,motor_torq_2,motor_torq_3
177133436,0.0442,-0.0136,-0.0195,0.0263,0.0130,-0.2300,0.2300,0.1965,-0.0001,-0.0001,-0.0199,0.0241,0.0012,0.0112,-0.0167,19.7609,-21.5104,-32.3825,0.0702,-0.0164,0.0036
177136994,0.0439,-0.0136,-0.0241,0.0269,0.0124,-0.2300,0.2300,0.1927,-0.0002,-0.0002,-0.0219,0.0284,-0.0054,0.0089,0.0294,19.7609,-21.5104,-32.3824,-0.0038,0.0067,0.0031
177141994,0.0438,-0.0133,-0.0116,0.0299,0.0136,-0.2300,0.2300,0.2014,0.0005,0.0005,0.1284,0.0372,-0.9871,0.5244,0.6203,19.7573,-21.5088,-32.3804,-0.0337,0.0235,0.0226
177146994,0.0438,-0.0130,0.0061,0.0443,-0.0078,-0.2300,0.2300,0.2189,0.0028,0.0028,0.4652,-0.1238,-2.7383,3.4458,1.3188,19.7461,-21.4921,-32.3755,-0.0506,0.0482,0.0592
177151994,0.0439,-0.0132,0.0388,-0.0018,-0.0184,-0.2300,0.2300,0.2019,0.0051,0.0051,0.4604,-0.1583,-1.4613,4.2184,2.2940,19.7353,-21.4738,-32.3623,-0.1164,0.1181,0.1029
177156994,0.0439,-0.0131,-0.0275,0.0073,-0.1235,-0.2300,0.2300,0.1851,0.0066,0.0066,0.2934,0.0365,-1.0871,2.2812,2.7267,19.7311,-21.4596,-32.3514,-0.1547,0.1449,0.1444
177161994,0.0437,-0.0132,-0.0852,0.0092,-0.2820,-0.2300,0.2300,0.1591,0.0079,0.0079,0.2651,0.0815,-0.7836,2.6297,3.6577,19.7261,-21.4497,-32.3305,-0.1751,0.1725,0.1647
177166994,0.0430,-0.0133,-0.1750,0.0113,-0.3007,-0.2300,0.2300,0.1252,0.0092,0.0092,0.2742,0.0430,-0.5701,4.1948,4.7484,19.7235,-21.4262,-32.3117,-0.2172,0.2067,0.1606
177171994,0.0419,-0.0136,-0.2590,-0.0003,-0.3443,-0.2300,0.2300,0.0790,0.0108,0.0108,0.3193,0.0747,-0.8461,5.0731,6.2152,19.7200,-21.4058,-32.2767,-0.2287,0.2179,0.1468
177176994,0.0405,-0.0137,-0.2999,0.0357,-0.4289,-0.2300,0.2300,0.0676,0.0123,0.0123,0.2857,0.0686,-0.3696,5.8999,6.5206,19.7181,-21.3709,-32.2502,-0.2356,0.2227,0.1081
177181994,0.0388,-0.0135,-0.3769,0.0586,-0.4549,-0.2300,0.2300,0.0434,0.0132,0.0132,0.1790,0.0051,0.0229,6.5181,6.0268,19.7185,-21.3451,-32.2135,-0.2323,0.2238,0.0774
177186994,0.0368,-0.0134,-0.4447,0.0684,-0.5221,-0.2300,0.2300,0.0086,0.0139,0.0139,0.1436,-0.0606,0.0067,7.3504,5.8876,19.7186,-21.3018,-32.1899,-0.2302,0.2196,0.0494
177191994,0.0344,-0.0131,-0.5275,0.0877,-0.5264,-0.2300,0.2300,-0.0241,0.0142,0.0142,0.0627,-0.1422,-0.1375,7.8813,5.1022,19.7181,-21.2704,-32.1581,-0.2293,0.2257,0.0410
177196994,0.0316,-0.0126,-0.5571,0.0922,-0.5035,-0.2300,0.2300,-0.0470,0.0142,0.0142,0.0098,-0.2379,-0.2999,8.1113,4.0154,19.7170,-21.2216,-32.1418,-0.2280,0.2267,0.0080
177201996,0.0285,-0.0121,-0.6625,0.1069,-0.5059,-0.1513,0.1850,-0.0923,0.0134,0.0134,-0.1638,-0.3536,-0.4582,8.0397,2.2295,19.7145,-21.1896,-32.1264,-0.2287,0.2314,-0.0083
177206994,0.0252,-0.0119,-0.6695,0.1155,-0.4876,-0.0870,0.1456,-0.1152,0.0126,0.0126,-0.1626,-0.4372,-0.5674,8.6202,1.6108,19.7122,-21.1384,-32.1200,-0.2221,0.2138,-0.0456
177211994,0.0214,-0.0114,-0.7605,0.1613,-0.4363,0.0379,0.0555,-0.1439,0.0109,0.0109,-0.3504,-0.4965,-0.3277,8.4644,0.0758,19.7098,-21.1042,-32.1180,-0.1833,0.1852,-0.0853
177216994,0.0178,-0.0106,-0.7657,0.1994,-0.3431,0.1113,-0.0079,-0.1432,0.0086,0.0086,-0.4504,-0.3915,-0.0903,7.2194,-0.3310,19.7096,-21.0594,-32.1194,-0.1387,0.1655,-0.1318
177221994,0.0136,-0.0095,-0.7850,0.2355,-0.2594,0.2007,-0.0840,-0.1468,0.0061,0.0061,-0.5120,-0.2515,-0.1146,6.0586,-0.1718,19.7090,-21.0349,-32.1213,-0.1169,0.1304,-0.1437
177226994,0.0095,-0.0081,-0.7850,0.2920,-0.2191,0.2300,-0.1703,-0.1323,0.0031,0.0031,-0.5977,-0.0182,-0.1131,3.9692,-0.0040,19.7085,-21.0086,-32.1211,-0.0744,0.0902,-0.1480
177231994,0.0057,-0.0067,-0.7395,0.3183,-0.1678,0.2300,-0.2265,-0.1158,-0.0000,-0.0000,-0.6134,0.1222,-0.1383,2.5284,0.0124,19.7077,-20.9985,-32.1211,-0.0323,0.0681,-0.1458
177236994,0.0022,-0.0050,-0.6588,0.3470,-0.0417,0.2300,-0.2300,-0.0778,-0.0030,-0.0030,-0.5911,0.2716,-0.2558,0.9835,0.0152,19.7067,-20.9910,-32.1210,-0.0105,0.0212,-0.1242
177241994,-0.0008,-0.0034,-0.5727,0.3372,0.0304,0.2300,-0.2300,-0.0560,-0.0060,-0.0060,-0.6181,0.3313,0.5617,0.0951,0.0195,19.7080,-20.9903,-32.1209,0.0234,-0.0197,-0.1040
177246994,-0.0035,-0.0019,-0.5082,0.3002,0.0723,0.2300,-0.2300,-0.0545,-0.0099,-0.0099,-0.7601,0.5294,1.4614,-2.8176,0.1301,19.7146,-21.0030,-32.1204,0.0794,-0.0332,-0.0621
177251994,-0.0059,-0.0007,-0.4798,0.2834,0.0176,0.2300,-0.2300,-0.0596,-0.0131,-0.0131,-0.6416,0.6107,-0.0388,-3.9501,0.2671,19.7141,-21.0203,-32.1188,0.1001,-0.0939,-0.0543
177256994,-0.0078,0.0007,-0.4142,0.2553,0.0249,0.2300,-0.2300,-0.0504,-0.0159,-0.0159,-0.5741,0.5432,0.0198,-3.6162,0.0967,19.7142,-21.0417,-32.1184,0.1359,-0.1384,-0.0562
177261994,-0.0095,0.0016,-0.3283,0.2312,0.1822,0.2300,-0.2300,-0.0326,-0.0188,-0.0188,-0.5747,0.4764,0.6602,-3.6637,-0.4975,19.7171,-21.0562,-32.1217,0.1701,-0.1588,-0.0533
177266994,-0.0107,0.0026,-0.2224,0.1930,0.2060,0.2300,-0.2300,-0.0152,-0.0219,-0.0219,-0.6122,0.5296,1.5737,-4.9358,-0.5906,19.7234,-21.0837,-32.1238,0.1883,-0.1890,-0.0414
177271994,-0.0115,0.0033,-0.1381,0.1216,0.1227,0.2300,-0.2300,-0.0264,-0.0255,-0.0255,-0.7368,0.5886,3.0024,-6.6722,-0.6462,19.7399,-21.1103,-32.1270,0.2198,-0.2103,-0.0180
177276994,-0.0120,0.0036,-0.0742,0.0880,0.1120,0.2300,-0.2300,-0.0251,-0.0297,-0.0297,-0.8342,0.7078,3.7833,-8.6708,-0.6732,19.7551,-21.1607,-32.1300,0.2226,-0.2147,-0.0229
177281994,-0.0123,0.0038,-0.0159,0.0675,0.1104,0.2300,-0.2099,-0.0175,-0.0342,-0.0342,-0.8900,0.7215,4.3828,-9.5622,-1.1216,19.7808,-21.1989,-32.1365,0.2242,-0.2175,-0.0217
177286994,-0.0121,0.0042,0.0495,0.0574,0.1535,0.2014,-0.1888,0.0052,-0.0387,-0.0387,-0.9045,0.7908,4.7311,-10.6143,-1.1490,19.7998,-21.2615,-32.1408,0.2274,-0.2033,-0.0172
