Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3
98306050,-0.0023,-0.1672,-0.0235,0.0437,0.0958,0.0500,-0.0500,0.0500,-0.0002,0.0003,-0.0232,0.0437,0.0000,0.0000,0.0000,17.0743,17.5823,9.7000
98309364,-0.0023,-0.1672,-0.0235,0.0437,0.0933,-0.0200,-0.0500,0.0500,-0.0002,0.0004,-0.0232,0.0437,0.0000,0.0000,0.0000,17.0743,17.5823,9.7000
98314364,-0.0023,-0.1672,-0.0260,0.0464,0.1068,-0.0200,-0.0500,0.0500,-0.0004,0.0007,-0.0256,0.0464,0.0000,0.0000,0.0000,17.0743,17.5823,9.7000
98319364,-0.0023,-0.1672,-0.0281,0.0480,0.1224,-0.0500,-0.0500,0.0500,-0.0005,0.0009,-0.0277,0.0480,0.0000,0.0000,0.0000,17.0743,17.5823,9.7000
98324364,-0.0024,-0.1672,-0.0348,0.0495,0.1434,-0.0500,0.0200,-0.0200,-0.0007,0.0012,-0.0343,0.0495,0.0000,0.0000,0.0000,17.0743,17.5823,9.7000
98329364,-0.0024,-0.1672,-0.0333,0.0531,0.1596,-0.0500,0.0200,-0.0200,-0.0008,0.0014,-0.0328,0.0531,0.0000,-0.4748,0.0000,17.0743,17.5726,9.7000
98334364,-0.0025,-0.1671,-0.0235,0.0602,0.1575,-0.0500,-0.1500,0.1500,-0.0010,0.0018,-0.0346,0.0845,0.0000,-1.5827,0.0524,17.0743,17.5425,9.7013
98339364,-0.0026,-0.1669,-0.0089,0.0816,0.1306,0.0200,-0.1500,0.1500,-0.0011,0.0024,-0.0202,0.1059,0.0000,-1.5827,0.0524,17.0743,17.5361,9.7015
98344364,-0.0025,-0.1665,0.0058,0.1246,0.0634,0.0200,-0.1500,0.1500,-0.0011,0.0031,-0.0057,0.1490,0.0000,-1.5827,0.0524,17.0743,17.5266,9.7018
98349364,-0.0024,-0.1660,0.0211,0.1628,0.0344,-0.0056,-0.1500,0.1500,-0.0011,0.0041,0.0099,0.1880,-0.0554,-1.6387,0.0524,17.0729,17.5192,9.7020
98354364,-0.0023,-0.1650,0.0360,0.2031,0.0628,-0.0025,-0.1500,0.1500,-0.0010,0.0053,0.0184,0.2408,-0.0554,-2.4776,0.0524,17.0727,17.4884,9.7023
98359364,-0.0020,-0.1639,0.0538,0.1939,0.1294,0.0500,-0.1500,0.1500,-0.0008,0.0064,0.0358,0.2316,-0.0554,-2.4776,0.0524,17.0723,17.4785,9.7025
98364364,-0.0017,-0.1629,0.0489,0.1894,0.1059,0.0500,-0.1500,0.1500,-0.0007,0.0076,0.0282,0.2422,-0.0554,-3.1079,0.4386,17.0721,17.4484,9.7107
98369364,-0.0014,-0.1621,0.0421,0.1958,0.0683,0.0500,-0.1500,0.1500,-0.0005,0.0091,0.0278,0.2872,-0.0554,-3.9857,2.1487,17.0718,17.4163,9.7501
98374364,-0.0012,-0.1612,0.0290,0.2306,0.0720,0.0500,-0.1500,0.1500,-0.0005,0.0109,0.0138,0.3616,-0.0554,-5.3780,3.4080,17.0716,17.3611,9.7903
98379364,-0.0010,-0.1600,-0.0040,0.2905,0.0802,-0.0200,-0.1500,0.1500,-0.0006,0.0132,-0.0211,0.4573,-0.0554,-6.7373,4.4532,17.0712,17.3098,9.8261
98384364,-0.0011,-0.1586,-0.0308,0.3308,0.0362,-0.0200,-0.1500,0.1500,-0.0008,0.0159,-0.0534,0.5436,0.0554,-8.6573,5.6162,17.0734,17.2259,9.8787
98389364,-0.0013,-0.1567,-0.0412,0.3577,-0.0114,-0.0500,-0.1500,0.1500,-0.0012,0.0189,-0.0621,0.6117,0.0554,-9.8713,7.1658,17.0737,17.1644,9.9351
98394364,-0.0015,-0.1548,-0.0284,0.3717,-0.0075,-0.0500,-0.1500,0.1500,-0.0014,0.0224,-0.0515,0.6867,0.0554,-12.1107,9.0142,17.0739,17.0537,10.0200
98399364,-0.0018,-0.1528,-0.0580,0.3735,0.0475,-0.0500,-0.1500,0.1500,-0.0018,0.0260,-0.0804,0.7275,0.0554,-13.3946,10.3417,17.0742,16.9774,10.0856
98404364,-0.0023,-0.1509,-0.1313,0.4050,-0.0725,-0.0500,-0.1500,0.1500,-0.0026,0.0301,-0.1492,0.8231,0.0554,-15.3024,12.7401,17.0745,16.8530,10.2028
98409364,-0.0035,-0.1487,-0.2541,0.4517,-0.1079,0.0200,-0.1500,0.1500,-0.0039,0.0347,-0.2667,0.9085,0.0554,-16.3417,14.2941,17.0748,16.7688,10.2877
98414364,-0.0051,-0.1464,-0.2813,0.4951,-0.1452,0.0200,-0.1500,0.1500,-0.0053,0.0397,-0.2891,1.0024,0.0554,-17.7437,16.2793,17.0750,16.6381,10.4192
98419364,-0.0066,-0.1440,-0.2602,0.5009,-0.1330,-0.0909,-0.1500,0.1500,-0.0067,0.0449,-0.2669,1.0348,-0.0554,-18.6147,17.1898,17.0726,16.5482,10.4918
98424364,-0.0077,-0.1413,-0.1723,0.5253,-0.0435,-0.0739,-0.1500,0.1500,-0.0076,0.0503,-0.1763,1.0910,-0.0554,-19.4477,18.4864,17.0724,16.4178,10.6386
98429364,-0.0081,-0.1387,-0.0492,0.5382,0.0112,-0.0438,-0.1500,0.1500,-0.0077,0.0559,-0.0338,1.1189,-1.1696,-19.9112,19.0416,17.0482,16.3301,10.7107
98434364,-0.0083,-0.1361,-0.0073,0.5363,0.0271,-0.0333,-0.1500,0.1500,-0.0076,0.0616,0.0192,1.1342,-1.7267,-20.3827,19.7202,17.0306,16.2000,10.8553
98439364,-0.0083,-0.1334,-0.0370,0.5782,0.0197,-0.0403,-0.1500,0.1500,-0.0077,0.0675,-0.0052,1.1831,-1.9421,-20.5444,20.0328,17.0159,16.1150,10.9262
98444364,-0.0083,-0.1305,-0.0446,0.6011,-0.0676,-0.0401,-0.1500,0.1500,-0.0076,0.0736,0.0021,1.2168,-2.6422,-20.7504,20.5503,16.9919,15.9870,11.0734
98449364,-0.0088,-0.1274,-0.0480,0.6454,-0.1150,-0.0423,-0.1500,0.1500,-0.0076,0.0799,-0.0012,1.2642,-2.6422,-20.8506,20.6579,16.9760,15.9018,11.1425
98454364,-0.0091,-0.1241,-0.0076,0.6796,-0.1312,-0.0324,-0.1500,0.1500,-0.0074,0.0864,0.0473,1.3029,-3.0366,-20.8992,20.9089,16.9574,15.7756,11.2880
98459364,-0.0090,-0.1207,0.0559,0.6811,-0.1260,-0.0159,-0.1500,0.1500,-0.0068,0.0929,0.1160,1.3067,-3.3746,-21.0037,20.9611,16.9306,15.6897,11.3571
98464364,-0.0085,-0.1171,0.0816,0.6848,-0.0872,-0.0073,-0.1500,0.1500,-0.0061,0.0995,0.1493,1.3110,-3.8449,-21.0523,20.9548,16.9072,15.5627,11.4986
98469364,-0.0081,-0.1139,0.0901,0.6997,-0.1095,-0.0031,-0.1500,0.1500,-0.0053,0.1061,0.1582,1.3252,-3.8449,-20.9996,20.9548,16.8842,15.4797,11.5667
