Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY
495872051,0.0496,0.1452,0.0376,0.0119,0.2067,0.1978,0.2300,-0.2300,0.0002,0.0001,0.0372,0.0119
495875365,0.0497,0.1455,0.0376,0.0119,0.1984,0.1982,0.2300,-0.2300,0.0004,0.0001,0.0372,0.0119
495880364,0.0500,0.1456,0.0394,0.0116,0.1877,0.1998,0.2300,-0.2300,0.0006,0.0002,0.0390,0.0116
495885364,0.0499,0.1458,0.0415,0.0134,0.1954,0.2000,0.2300,-0.2300,0.0008,0.0002,0.0411,0.0134
495890365,0.0499,0.1457,0.0428,0.0153,0.2045,0.2000,0.2300,-0.2300,0.0010,0.0003,0.0428,0.0144
495895365,0.0502,0.1459,0.0473,0.0174,0.1911,0.2012,0.2300,-0.2300,0.0011,0.0004,0.0324,0.0155
495900365,0.0504,0.1462,0.0877,0.0397,0.1569,0.2126,0.2300,-0.2300,0.0015,0.0005,0.0667,0.0250
495905364,0.0508,0.1466,0.0666,0.0779,0.1761,0.2066,0.2300,-0.2300,0.0016,0.0005,0.0239,0.0055
495910365,0.0510,0.1470,0.0357,0.0712,0.3169,0.1949,0.2300,-0.2300,0.0014,0.0003,-0.0350,-0.0493
495915365,0.0507,0.1474,-0.0296,0.0202,0.4177,0.1721,0.2300,-0.2300,0.0007,-0.0005,-0.1366,-0.1683
495920365,0.0500,0.1473,-0.0806,-0.0556,0.4507,0.1527,0.2300,-0.2300,-0.0004,-0.0020,-0.2209,-0.3011
495925365,0.0493,0.1462,-0.0648,-0.2541,0.3157,0.1523,0.2300,-0.2300,-0.0016,-0.0049,-0.2496,-0.5787
495930365,0.0490,0.1445,0.0021,-0.3720,0.2745,0.1664,0.2300,-0.2300,-0.0027,-0.0087,-0.2142,-0.7453
495935364,0.0489,0.1424,0.0266,-0.4694,0.3071,0.1687,0.2300,-0.2300,-0.0038,-0.0132,-0.2283,-0.9098
495940364,0.0490,0.1401,0.0342,-0.4997,0.3664,0.1683,0.2251,-0.2300,-0.0050,-0.0181,-0.2408,-0.9803
495945364,0.0490,0.1376,0.0299,-0.4820,0.3835,0.1652,0.2189,-0.2300,-0.0064,-0.0231,-0.2685,-1.0040
495950365,0.0489,0.1351,0.0018,-0.4768,0.3853,0.1560,0.2146,-0.2300,-0.0079,-0.0282,-0.3097,-1.0197
495955365,0.0484,0.1328,-0.0104,-0.4404,0.4030,0.1499,0.2162,-0.2300,-0.0096,-0.0333,-0.3320,-1.0076
495960364,0.0480,0.1307,-0.0208,-0.4636,0.5197,0.1438,0.2042,-0.2300,-0.0113,-0.0385,-0.3452,-1.0402
495965364,0.0475,0.1284,-0.0348,-0.5296,0.5900,0.1370,0.1824,-0.2300,-0.0131,-0.0441,-0.3641,-1.1196
495970365,0.0469,0.1253,-0.0938,-0.6200,0.4574,0.1211,0.1617,-0.2300,-0.0152,-0.0501,-0.4236,-1.2147
495975365,0.0461,0.1220,-0.1387,-0.6209,0.4205,0.1065,0.1583,-0.2300,-0.0176,-0.0563,-0.4707,-1.2226
495980364,0.0450,0.1190,-0.1271,-0.6234,0.5173,0.1037,0.1468,-0.2300,-0.0199,-0.0624,-0.4622,-1.2281
495985365,0.0440,0.1160,-0.1191,-0.6405,0.5918,0.1008,0.1328,-0.2300,-0.0222,-0.0686,-0.4564,-1.2498
495990365,0.0433,0.1127,-0.1170,-0.6942,0.5573,0.0988,0.1111,-0.2300,-0.0245,-0.0752,-0.4561,-1.3074
495995364,0.0424,0.1091,-0.1463,-0.7746,0.4299,0.0892,0.0877,-0.1934,-0.0269,-0.0821,-0.4889,-1.3901
496000364,0.0412,0.1051,-0.1860,-0.8341,0.3313,0.0752,0.0696,-0.1575,-0.0296,-0.0894,-0.5301,-1.4519
496005365,0.0397,0.1008,-0.2147,-0.8729,0.3887,0.0611,0.0525,-0.1285,-0.0324,-0.0969,-0.5615,-1.4914
496010365,0.0385,0.0964,-0.1775,-0.9084,0.4498,0.0651,0.0266,-0.1090,-0.0350,-0.1045,-0.5255,-1.5260
496015365,0.0375,0.0919,-0.1268,-0.9303,0.3911,0.0754,0.0026,-0.0930,-0.0374,-0.1122,-0.4762,-1.5487
496020365,0.0368,0.0873,-0.1536,-0.9270,0.3762,0.0655,-0.0065,-0.0734,-0.0399,-0.1200,-0.5046,-1.5468
496025365,0.0358,0.0826,-0.1826,-0.9096,0.4211,0.0535,-0.0128,-0.0568,-0.0426,-0.1276,-0.5338,-1.5256
496030365,0.0345,0.0779,-0.2321,-0.9175,0.4782,0.0348,-0.0219,-0.0312,-0.0455,-0.1352,-0.5838,-1.5301
496035365,0.0330,0.0733,-0.2605,-0.9691,0.4684,0.0216,-0.0413,0.0017,-0.0486,-0.1431,-0.6158,-1.5691
496040365,0.0316,0.0683,-0.2786,-1.0290,0.4324,0.0115,-0.0647,0.0367,-0.0518,-0.1512,-0.6367,-1.6188
496045364,0.0302,0.0629,-0.2929,-1.0837,0.4110,0.0025,-0.0886,0.0704,-0.0550,-0.1594,-0.6536,-1.6519
496050365,0.0286,0.0573,-0.3335,-1.1047,0.4006,-0.0142,-0.1021,0.1010,-0.0585,-0.1677,-0.6950,-1.6544
496055365,0.0268,0.0516,-0.3662,-1.0971,0.4345,-0.0298,-0.1090,0.1221,-0.0621,-0.1757,-0.7242,-1.6069
496060365,0.0248,0.0461,-0.3784,-1.0715,0.4443,-0.0405,-0.1142,0.1376,-0.0658,-0.1835,-0.7339,-1.5510
496065365,0.0227,0.0406,-0.4026,-1.0586,0.4198,-0.0540,-0.1176,0.1555,-0.0695,-0.1909,-0.7491,-1.4758
496070364,0.0207,0.0348,-0.4078,-1.1295,0.4311,-0.0622,-0.1450,0.1907,-0.0733,-0.1983,-0.7449,-1.4931
496075364,0.0186,0.0291,-0.4459,-1.1652,0.4305,-0.0782,-0.1580,0.2198,-0.0771,-0.2056,-0.7595,-1.4487
496080365,0.0163,0.0232,-0.4670,-1.1243,0.3976,-0.0913,-0.1573,0.2300,-0.0809,-0.2124,-0.7689,-1.3582
496085365,0.0137,0.0178,-0.5030,-1.0379,0.3169,-0.1051,-0.1405,0.2300,-0.0847,-0.2183,-0.7566,-1.1822
496090364,0.0111,0.0129,-0.5385,-0.9264,0.2293,-0.1209,-0.1180,0.2300,-0.0885,-0.2234,-0.7629,-1.0190
496095365,0.0084,0.0088,-0.5370,-0.7746,0.2937,-0.1268,-0.0889,0.2044,-0.0920,-0.2273,-0.7049,-0.7800
496100365,0.0056,0.0055,-0.5424,-0.6234,0.3881,-0.1368,-0.0585,0.1804,-0.0954,-0.2302,-0.6723,-0.5749
496105365,0.0031,0.0027,-0.4777,-0.5165,0.4424,-0.1250,-0.0449,0.1529,-0.0981,-0.2321,-0.5498,-0.3932
496110364,0.0009,0.0006,-0.4291,-0.3787,0.4672,-0.1184,-0.0204,0.1209,-0.1005,-0.2331,-0.4687,-0.2034
