Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3
161456690,0.0127,0.0814,0.0150,-0.0092,-0.0096,0.0548,0.2000,-0.2000,0.0001,-0.0001,0.0149,-0.0092,0.0000,0.0000,0.0000,58.5882,-25.6725,-69.1594
161458375,0.0127,0.0811,0.0150,-0.0092,-0.0096,0.0549,0.2000,-0.2000,0.0001,-0.0001,0.0149,-0.0092,0.0000,0.0000,0.0000,58.5882,-25.6725,-69.1594
161463364,0.0127,0.0809,0.0211,-0.0101,-0.0084,0.0565,0.2000,-0.2000,0.0002,-0.0001,0.0210,-0.0101,0.0000,0.0000,0.0000,58.5882,-25.6725,-69.1594
161468364,0.0128,0.0806,0.0232,-0.0104,-0.0059,0.0572,0.2000,-0.2000,0.0003,-0.0002,0.0231,-0.0104,0.0000,0.0000,0.0000,58.5882,-25.6725,-69.1594
161473365,0.0128,0.0804,0.0348,-0.0082,-0.0071,0.0604,0.2000,-0.2000,0.0005,-0.0002,0.0347,-0.0082,0.0000,0.0000,0.0000,58.5882,-25.6725,-69.1594
161478364,0.0132,0.0802,0.0330,-0.0092,-0.0105,0.0616,0.2000,-0.2000,0.0007,-0.0003,0.0334,-0.0100,0.0000,0.0559,0.0000,58.5882,-25.6713,-69.1594
161483365,0.0135,0.0802,0.0119,-0.0128,-0.0151,0.0574,0.2000,-0.2000,0.0007,-0.0003,0.0119,-0.0144,0.0000,0.0559,-0.0488,58.5882,-25.6711,-69.1605
161488364,0.0135,0.0803,-0.0415,0.0055,-0.0075,0.0442,0.2000,-0.2000,0.0006,-0.0006,-0.0372,-0.0427,0.0000,1.8497,-1.3779,58.5882,-25.6312,-69.1893
161493364,0.0133,0.0802,-0.0687,-0.0281,0.0643,0.0359,0.2000,-0.2000,0.0003,-0.0011,-0.0583,-0.1136,0.0539,3.4806,-2.2453,58.5894,-25.5879,-69.2141
161498364,0.0127,0.0800,-0.1057,-0.0825,0.1407,0.0233,0.2000,-0.2000,-0.0002,-0.0023,-0.0971,-0.2383,0.0539,5.7342,-4.7104,58.5898,-25.5154,-69.2843
161503365,0.0120,0.0793,-0.1206,-0.1732,0.1724,0.0157,0.2000,-0.2000,-0.0008,-0.0042,-0.1228,-0.3750,0.9359,7.4966,-6.0276,58.6086,-25.4537,-69.3325
161508364,0.0114,0.0779,-0.1252,-0.2929,0.1480,0.0112,0.1805,-0.1974,-0.0015,-0.0070,-0.1382,-0.5677,1.6787,10.0277,-8.3822,58.6327,-25.3509,-69.4227
161513365,0.0108,0.0760,-0.1118,-0.4111,0.1282,0.0117,0.1450,-0.1617,-0.0022,-0.0107,-0.1343,-0.7337,2.3432,11.7231,-9.8892,58.6532,-25.2735,-69.4893
161518364,0.0102,0.0731,-0.1075,-0.6109,0.1468,0.0097,0.0877,-0.1030,-0.0029,-0.0157,-0.1375,-1.0000,2.7862,13.9608,-12.1188,58.6785,-25.1513,-69.6004
161523365,0.0097,0.0699,-0.1084,-0.6677,0.1107,0.0076,0.0630,-0.0749,-0.0036,-0.0212,-0.1418,-1.1005,2.7862,15.2439,-13.7662,58.6897,-25.0671,-69.6851
161528365,0.0091,0.0665,-0.1121,-0.7080,0.0823,0.0036,0.0415,-0.0482,-0.0044,-0.0272,-0.1629,-1.1936,3.5885,16.8011,-15.7452,58.7258,-24.9396,-69.8129
