Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3
52156690,0.0863,0.0342,-0.0229,-0.0180,0.0118,0.0500,-0.0500,-0.2000,-0.0002,-0.0001,-0.0229,-0.0180,0.0000,0.0000,0.0000,15.9648,-4.2954,-13.9979
52158375,0.0863,0.0342,-0.0229,-0.0370,0.0066,0.0500,-0.0500,-0.2000,-0.0002,-0.0002,-0.0229,-0.0370,0.0000,0.0000,0.0000,15.9648,-4.2954,-13.9979
52163365,0.0862,0.0340,-0.0247,-0.0547,-0.0120,0.0500,-0.0500,-0.2000,-0.0003,-0.0005,-0.0247,-0.0547,0.0000,0.0000,0.0000,15.9648,-4.2954,-13.9979
52168364,0.0861,0.0338,-0.0269,-0.0800,-0.0233,0.0500,-0.0500,-0.2000,-0.0004,-0.0009,-0.0269,-0.0800,0.0000,0.0000,0.0000,15.9648,-4.2954,-13.9979
52173364,0.0860,0.0334,-0.0250,-0.0962,-0.0233,-0.0200,0.0200,-0.2000,-0.0006,-0.0013,-0.0250,-0.0962,0.0000,0.0000,0.0000,15.9648,-4.2954,-13.9979
52178364,0.0859,0.0330,-0.0171,-0.1066,-0.0075,-0.0200,0.0200,-0.2000,-0.0007,-0.0019,-0.0176,-0.1073,1.0815,-0.5355,-0.0523,15.9879,-4.3064,-13.9991
52183364,0.0858,0.0326,-0.0318,-0.1063,0.0338,0.2000,-0.0751,-0.2000,-0.0010,-0.0023,-0.0765,-0.0807,1.5517,-1.8985,-0.1976,16.0043,-4.3426,-14.0022
52188365,0.0858,0.0323,-0.0357,-0.0727,0.0561,0.2000,-0.0696,-0.2000,-0.0015,-0.0026,-0.0933,-0.0680,1.5517,-1.8985,-1.6505,16.0137,-4.3502,-14.0347
52193364,0.0856,0.0317,-0.0629,-0.0727,-0.0157,0.2000,-0.0671,-0.2000,-0.0022,-0.0030,-0.1420,-0.0825,1.5517,-2.5844,-3.4009,16.0199,-4.3771,-14.0860
52198365,0.0854,0.0312,-0.0947,-0.1115,-0.1412,0.2000,-0.0723,-0.2000,-0.0032,-0.0038,-0.1891,-0.1463,1.5517,-2.5844,-5.1440,16.0292,-4.3875,-14.1367
52203364,0.0848,0.0304,-0.1454,-0.1561,-0.2542,0.2000,-0.0773,-0.2000,-0.0045,-0.0049,-0.2679,-0.2275,1.8897,-2.5844,-7.6762,16.0430,-4.4030,-14.2274
52208365,0.0842,0.0291,-0.1839,-0.1991,-0.3025,0.2000,-0.0845,-0.1885,-0.0061,-0.0063,-0.3277,-0.2889,1.8897,-3.1437,-9.5498,16.0543,-4.4255,-14.2971
52213364,0.0831,0.0280,-0.2224,-0.2358,-0.2897,0.2000,-0.0900,-0.1672,-0.0081,-0.0081,-0.3939,-0.3465,1.8897,-3.9679,-11.8907,16.0619,-4.4617,-14.4012
52218365,0.0821,0.0264,-0.2529,-0.2755,-0.2222,0.2000,-0.0991,-0.1449,-0.0104,-0.0101,-0.4639,-0.4080,2.9594,-4.4326,-13.8594,16.0986,-4.4871,-14.5001
52223365,0.0809,0.0247,-0.2804,-0.2999,-0.2081,0.2000,-0.1034,-0.1259,-0.0131,-0.0123,-0.5367,-0.4402,3.9986,-5.7259,-15.7333,16.1337,-4.5426,-14.6173
52228365,0.0795,0.0229,-0.2987,-0.2819,-0.2573,0.2000,-0.0982,-0.1156,-0.0162,-0.0145,-0.6088,-0.4277,6.0650,-6.6085,-16.9778,16.2051,-4.5842,-14.7183
52233365,0.0779,0.0213,-0.3451,-0.2465,-0.3059,0.2000,-0.0847,-0.1059,-0.0197,-0.0164,-0.7039,-0.3954,7.6673,-7.7273,-18.3254,16.2646,-4.6494,-14.8405
52238364,0.0761,0.0199,-0.3845,-0.2135,-0.2943,0.1807,-0.0714,-0.0980,-0.0237,-0.0182,-0.8013,-0.3552,10.0141,-9.0138,-19.0991,16.3642,-4.7173,-14.9424
52243364,0.0742,0.0188,-0.4093,-0.1555,-0.1965,0.1624,-0.0553,-0.0996,-0.0280,-0.0197,-0.8685,-0.2982,11.6225,-9.8501,-19.9962,16.4397,-4.7719,-15.0823
52248364,0.0721,0.0181,-0.4636,-0.0925,-0.1299,0.1350,-0.0306,-0.0994,-0.0329,-0.0208,-0.9772,-0.2188,13.9142,-11.2946,-20.2963,16.5627,-4.8643,-15.1687
52253365,0.0693,0.0179,-0.5938,0.0098,-0.1480,0.0887,0.0500,-0.0976,-0.0386,-0.0214,-1.1414,-0.1124,15.3347,-12.0122,-20.7123,16.6497,-4.9249,-15.2999
52258364,0.0661,0.0180,-0.6646,0.0675,-0.1211,0.0639,0.0500,-0.0862,-0.0443,-0.0226,-1.1355,-0.2423,16.8465,-12.7584,-20.9302,16.7764,-5.0142,-15.3877
52263365,0.0628,0.0183,-0.7052,0.1237,-0.0811,0.0383,0.0500,-0.0874,-0.0503,-0.0235,-1.1925,-0.1896,17.6959,-13.0334,-21.1386,16.8624,-5.0713,-15.5183
