Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3
73420051,-0.0955,-0.0802,-0.0012,-0.0070,-0.0047,-0.0200,-0.0885,0.2000,-0.0000,-0.0000,-0.0012,-0.0070,0.0000,0.0000,0.0000,21.8760,-11.6703,-22.0000
73423364,-0.0956,-0.0805,0.0003,-0.0101,-0.0038,-0.0200,-0.0901,0.2000,-0.0000,-0.0001,0.0003,-0.0101,0.0000,0.0000,0.0000,21.8760,-11.6703,-22.0000
73428364,-0.0957,-0.0808,0.0021,-0.0140,-0.0053,-0.0500,-0.0919,0.2000,0.0000,-0.0002,0.0021,-0.0140,0.0000,0.0000,0.0000,21.8760,-11.6703,-22.0000
73433364,-0.0958,-0.0810,-0.0018,-0.0137,-0.0096,-0.0500,-0.0921,0.2000,-0.0000,-0.0002,-0.0018,-0.0137,0.0000,0.0000,0.0000,21.8760,-11.6703,-22.0000
73438364,-0.0959,-0.0813,-0.0027,-0.0159,-0.0096,-0.0500,-0.0933,0.2000,-0.0000,-0.0003,-0.0027,-0.0159,0.0000,0.0000,0.0000,21.8760,-11.6703,-22.0000
73443364,-0.0961,-0.0816,-0.0061,-0.0241,0.0249,-0.0500,-0.0956,0.2000,-0.0001,-0.0004,-0.0065,-0.0233,0.0000,-0.0559,0.0000,21.8760,-11.6716,-22.0000
73448365,-0.0962,-0.0818,0.0070,-0.0339,0.0356,0.0200,-0.0991,0.2000,-0.0000,-0.0005,0.0012,-0.0219,0.0000,-0.7831,0.0523,21.8760,-11.6871,-21.9987
73453365,-0.0962,-0.0820,0.0156,-0.0547,0.0155,0.0200,-0.1031,0.2000,-0.0000,-0.0006,0.0089,-0.0130,-0.0464,-1.8497,0.9937,21.8750,-11.7143,-21.9787
73458365,-0.0961,-0.0823,0.0318,-0.0031,-0.0368,-0.2000,-0.0912,0.2000,0.0002,-0.0001,0.0348,0.0931,-0.0464,-3.1406,3.3285,21.8748,-11.7561,-21.9190
73463364,-0.0958,-0.0823,0.0415,0.0394,-0.0808,-0.2000,-0.0805,0.2000,0.0004,0.0008,0.0471,0.1775,-0.0464,-4.4059,4.8799,21.8746,-11.7963,-21.8711
73468365,-0.0955,-0.0818,0.0663,0.1423,-0.0976,-0.2000,-0.0565,0.2000,0.0008,0.0024,0.0808,0.3348,-0.0464,-5.6879,7.2180,21.8743,-11.8519,-21.7889
73473365,-0.0952,-0.0809,0.0736,0.2193,-0.0933,-0.2000,-0.0364,0.2000,0.0013,0.0047,0.0965,0.4446,-0.0464,-6.2682,8.8132,21.8741,-11.8881,-21.7249
73478365,-0.0949,-0.0796,0.0706,0.2330,-0.1003,-0.2000,-0.0260,0.2000,0.0019,0.0073,0.1235,0.5209,-1.2312,-7.8419,11.4592,21.8486,-11.9619,-21.6108
