Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3
28169691,0.0182,-0.1250,-0.0113,0.0922,0.0100,0.0709,-0.2100,0.2100,-0.0001,0.0006,-0.0112,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28171376,0.0181,-0.1248,-0.0113,0.0922,0.0100,0.0703,-0.2100,0.2100,-0.0001,0.0008,-0.0112,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28176365,0.0179,-0.1245,-0.0140,0.0922,-0.0016,0.0692,-0.2100,0.2100,-0.0002,0.0012,-0.0139,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28181365,0.0180,-0.1243,-0.0128,0.0938,0.0002,0.0697,-0.2100,0.2100,-0.0002,0.0017,-0.0127,0.0938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28186366,0.0178,-0.1241,-0.0144,0.0883,0.0121,0.0686,-0.2100,0.2100,-0.0003,0.0021,-0.0142,0.0883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28191366,0.0176,-0.1239,-0.0153,0.0812,0.0283,0.0675,-0.2100,0.2100,-0.0004,0.0025,-0.0152,0.0812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28196366,0.0176,-0.1236,-0.0086,0.1032,0.0219,0.0652,-0.2100,0.2100,-0.0006,0.0033,-0.0536,0.1531,2.2080,-2.0355,1.3182,0.0511,-0.0458,0.0285
28201366,0.0177,-0.1232,0.0095,0.1393,0.0411,0.0684,-0.2100,0.2100,-0.0008,0.0045,-0.0405,0.2310,2.8580,-3.0091,3.1662,0.0734,-0.0746,0.0787
28206366,0.0178,-0.1224,0.0385,0.1967,0.1007,0.0718,-0.2100,0.2100,-0.0010,0.0061,-0.0376,0.3206,3.9403,-4.5023,3.8282,0.1149,-0.1274,0.1050
28211366,0.0181,-0.1212,0.0342,0.2740,0.1896,0.0708,-0.2100,0.2100,-0.0012,0.0084,-0.0409,0.4563,4.2172,-6.0871,6.1752,0.1372,-0.1801,0.1816
28216366,0.0184,-0.1198,0.0018,0.3070,0.1819,0.0641,-0.2100,0.2100,-0.0017,0.0111,-0.0982,0.5478,5.2333,-8.4942,7.6915,0.1863,-0.2719,0.2395
28221366,0.0185,-0.1182,-0.0363,0.3323,0.0994,0.0581,-0.2100,0.2100,-0.0024,0.0143,-0.1380,0.6422,5.7976,-10.2858,10.5424,0.2200,-0.3451,0.3513
28226365,0.0181,-0.1164,-0.1237,0.3482,0.0491,0.0394,-0.2100,0.2100,-0.0036,0.0179,-0.2406,0.7245,6.4737,-12.7487,12.5349,0.2710,-0.4630,0.4372
28231366,0.0173,-0.1147,-0.2111,0.3537,-0.0148,0.0200,-0.2100,0.2100,-0.0053,0.0219,-0.3287,0.7887,7.0661,-14.1351,15.0961,0.3099,-0.5445,0.5711
