time, vel, T_target, T_estimate
0.000,0.000000,0.000000,0.000213
0.001,0.000000,0.000000,-0.000182
0.002,0.000000,0.000000,-0.000182
0.003,0.000000,0.000000,0.000109
0.004,0.000000,0.000000,0.000109
0.005,0.000000,0.015000,0.007218
0.006,0.000000,0.015000,0.007218
0.007,0.000000,0.015000,0.007218
0.008,0.000000,0.015000,0.007218
0.009,0.000000,0.015000,0.012229
0.010,0.000000,0.015000,0.012229
0.011,0.000000,0.015000,0.011980
0.012,0.000000,0.015000,0.011980
0.013,0.000000,0.015000,0.011175
0.014,0.000000,0.015000,0.011175
0.015,0.000000,0.015000,0.010779
0.016,0.000000,0.015000,0.010779
0.017,0.000000,0.015000,0.010414
0.018,0.000000,0.015000,0.010414
0.019,0.000000,0.015000,0.011156
0.020,0.000000,0.015000,0.011156
0.021,0.000000,0.015000,0.010892
0.022,0.000000,0.015000,0.010892
0.023,0.000000,0.015000,0.011305
0.024,0.000000,0.015000,0.011305
0.025,0.000000,0.015000,0.011548
0.026,0.000000,0.015000,0.011548
0.027,0.000000,0.015000,0.011637
0.028,0.000000,0.015000,0.011637
0.029,0.000000,0.015000,0.012200
0.030,0.000000,0.015000,0.012200
0.031,0.000000,0.015000,0.012580
0.032,0.000000,0.015000,0.012580
0.033,0.000000,0.015000,0.012006
0.034,0.000000,0.015000,0.012006
0.035,0.000000,0.015000,0.013231
0.036,0.000000,0.015000,0.013231
0.037,0.000000,0.015000,0.012854
0.038,0.000000,0.015000,0.012854
0.039,0.000000,0.015000,0.013446
0.040,0.000000,0.015000,0.013446
0.041,0.000000,0.015000,0.013289
0.042,0.000000,0.015000,0.013289
0.043,0.000000,0.015000,0.013881
0.044,0.000000,0.015000,0.013881
0.045,0.000000,0.015000,0.013859
0.046,0.000000,0.015000,0.013859
0.047,0.000000,0.015000,0.013885
0.048,0.000000,0.015000,0.013885
0.049,0.000000,0.015000,0.013843
0.050,0.000000,0.015000,0.013843
0.051,0.000000,0.015000,0.013942
0.052,0.000000,0.015000,0.013942
0.053,0.000000,0.015000,0.013875
0.054,0.000000,0.015000,0.013875
0.055,0.000000,0.015000,0.014149
0.056,0.000000,0.015000,0.014149
0.057,0.000000,0.015000,0.013557
0.058,0.000000,0.015000,0.013557
0.059,0.000000,0.015000,0.013241
0.060,0.000000,0.015000,0.013241
0.061,0.000000,0.015000,0.013424
0.062,0.000000,0.015000,0.013424
0.063,0.000000,0.015000,0.013454
0.064,0.000000,0.015000,0.013454
0.065,0.000000,0.015000,0.013691
0.066,0.000000,0.015000,0.013691
0.067,0.000000,0.015000,0.013515
0.068,0.000000,0.015000,0.013515
0.069,0.000000,0.015000,0.013993
0.070,0.000000,0.015000,0.013993
0.071,0.000000,0.015000,0.013245
0.072,0.051622,0.015000,0.013245
0.073,0.051622,0.015000,0.009471
0.074,0.051622,0.015000,0.009471
0.075,0.051622,0.015000,0.009453
0.076,0.051622,0.015000,0.009453
0.077,0.051622,0.015000,0.010259
0.078,0.051622,0.015000,0.010259
0.079,0.051622,0.015000,0.010528
0.080,0.051622,0.015000,0.010528
0.081,0.051622,0.015000,0.009730
0.082,0.051622,0.015000,0.009730
0.083,0.051622,0.015000,0.010427
0.084,0.051622,0.015000,0.010427
0.085,0.051622,0.015000,0.010165
0.086,0.051622,0.015000,0.010165
0.087,0.051622,0.015000,0.010244
0.088,0.051622,0.015000,0.010244
0.089,0.051622,0.015000,0.011245
0.090,0.051622,0.015000,0.011245
0.091,0.051622,0.015000,0.011207
0.092,0.051622,0.015000,0.011207
0.093,0.051622,0.015000,0.011553
0.094,0.051622,0.015000,0.011553
0.095,0.051622,0.015000,0.011917
0.096,0.051622,0.015000,0.011917
0.097,0.051622,0.015000,0.012286
0.098,0.051622,0.015000,0.012286
0.099,0.051622,0.015000,0.012677
0.100,0.051622,0.015000,0.012677
0.101,0.051622,0.015000,0.013198
0.102,0.051622,0.015000,0.013198
