time, vel, T_target, T_estimate
0.000,0.000000,0.000000,-0.000283
0.001,0.000000,0.000000,-0.000283
0.002,0.000000,0.000000,-0.000176
0.003,0.000000,0.000000,-0.000176
0.004,0.000000,0.000000,-0.000176
0.005,0.000000,0.012000,0.007195
0.006,0.000000,0.012000,0.007195
0.007,0.000000,0.012000,0.009646
0.008,0.000000,0.012000,0.009646
0.009,0.000000,0.012000,0.010304
0.010,0.000000,0.012000,0.010304
0.011,0.000000,0.012000,0.010015
0.012,0.000000,0.012000,0.010015
0.013,0.000000,0.012000,0.009907
0.014,0.000000,0.012000,0.009907
0.015,0.000000,0.012000,0.008877
0.016,0.000000,0.012000,0.008877
0.017,0.000000,0.012000,0.009191
0.018,0.000000,0.012000,0.009191
0.019,0.000000,0.012000,0.009450
0.020,0.000000,0.012000,0.009450
0.021,0.000000,0.012000,0.009586
0.022,0.000000,0.012000,0.009586
0.023,0.000000,0.012000,0.007834
0.024,0.000000,0.012000,0.007834
0.025,0.000000,0.012000,0.009458
0.026,0.000000,0.012000,0.009458
0.027,0.000000,0.012000,0.010120
0.028,0.000000,0.012000,0.010120
0.029,0.000000,0.012000,0.010279
0.030,0.000000,0.012000,0.010279
0.031,0.000000,0.012000,0.009467
0.032,0.000000,0.012000,0.009467
0.033,0.000000,0.012000,0.009845
0.034,0.000000,0.012000,0.009845
0.035,0.000000,0.012000,0.010852
0.036,0.000000,0.012000,0.010852
0.037,0.000000,0.012000,0.009449
0.038,0.000000,0.012000,0.009449
0.039,0.000000,0.012000,0.009102
0.040,0.000000,0.012000,0.009102
0.041,0.000000,0.012000,0.009436
0.042,0.000000,0.012000,0.009436
0.043,0.000000,0.012000,0.009421
0.044,0.000000,0.012000,0.009421
0.045,0.000000,0.012000,0.009502
0.046,0.000000,0.012000,0.009502
0.047,0.000000,0.012000,0.009549
0.048,0.000000,0.012000,0.009549
0.049,0.000000,0.012000,0.010639
0.050,0.000000,0.012000,0.010639
0.051,0.000000,0.012000,0.009854
0.052,0.000000,0.012000,0.009854
0.053,0.000000,0.012000,0.009404
0.054,0.000000,0.012000,0.009404
0.055,0.000000,0.012000,0.009708
0.056,0.000000,0.012000,0.009708
0.057,0.000000,0.012000,0.009760
0.058,0.000000,0.012000,0.009760
0.059,0.000000,0.012000,0.010315
0.060,0.000000,0.012000,0.010315
0.061,0.000000,0.012000,0.009844
0.062,0.000000,0.012000,0.009844
0.063,0.000000,0.012000,0.009114
0.064,0.000000,0.012000,0.009114
0.065,0.000000,0.012000,0.009645
0.066,0.000000,0.012000,0.009645
0.067,0.000000,0.012000,0.009924
0.068,0.000000,0.012000,0.009924
0.069,0.000000,0.012000,0.010126
0.070,0.000000,0.012000,0.010126
0.071,0.000000,0.012000,0.010157
0.072,0.000000,0.012000,0.010157
0.073,0.000000,0.012000,0.009974
0.074,0.000000,0.012000,0.009974
0.075,0.000000,0.012000,0.009747
0.076,0.000000,0.012000,0.009747
0.077,0.000000,0.012000,0.010500
0.078,0.000000,0.012000,0.010500
0.079,0.000000,0.012000,0.010390
0.080,0.000000,0.012000,0.010390
0.081,0.000000,0.012000,0.011420
0.082,0.000000,0.012000,0.011420
0.083,0.000000,0.012000,0.010929
0.084,0.000000,0.012000,0.010929
0.085,0.000000,0.012000,0.011086
0.086,0.000000,0.012000,0.011086
0.087,0.000000,0.012000,0.010791
0.088,0.000000,0.012000,0.010791
0.089,0.000000,0.012000,0.010814
0.090,0.000000,0.012000,0.010814
0.091,0.000000,0.012000,0.011070
0.092,0.000000,0.012000,0.011070
0.093,0.000000,0.012000,0.010923
0.094,0.000000,0.012000,0.010923
0.095,0.000000,0.012000,0.010826
0.096,0.000000,0.012000,0.010826
0.097,0.000000,0.012000,0.010658
0.098,0.000000,0.012000,0.010658
0.099,0.000000,0.012000,0.010938
0.100,0.000000,0.012000,0.010938
0.101,0.000000,0.012000,0.010986
0.102,0.048690,0.012000,0.010986
0.103,0.048690,0.012000,0.008462
0.104,0.048690,0.012000,0.008462
0.105,0.048690,0.012000,0.007840
0.106,0.048690,0.012000,0.007840
0.107,0.048690,0.012000,0.008433
0.108,0.048690,0.012000,0.008433
0.109,0.048690,0.012000,0.006997
0.110,0.048690,0.012000,0.006997
0.111,0.048690,0.012000,0.007190
0.112,0.048690,0.012000,0.007190
0.113,0.048690,0.012000,0.007566
0.114,0.048690,0.012000,0.007566
0.115,0.048690,0.012000,0.007526
0.116,0.048690,0.012000,0.007526
0.117,0.048690,0.012000,0.008767
0.118,0.048690,0.012000,0.008767
0.119,0.048690,0.012000,0.009134
0.120,0.048690,0.012000,0.009134
0.121,0.048690,0.012000,0.008975
0.122,0.048690,0.012000,0.008975
0.123,0.048690,0.012000,0.009916
0.124,0.048690,0.012000,0.009916
0.125,0.048690,0.012000,0.010312
0.126,0.048690,0.012000,0.010312
0.127,0.048690,0.012000,0.011375
0.128,0.048690,0.012000,0.011375
0.129,0.048690,0.012000,0.011543
0.130,0.048690,0.012000,0.011543
0.131,0.048690,0.012000,0.012035
0.132,0.048690,0.012000,0.012035
0.133,0.048690,0.012000,0.012914
0.134,0.048690,0.012000,0.012914
0.135,0.048690,0.012000,0.012671
0.136,0.048690,0.012000,0.012671
0.137,0.048690,0.012000,0.013783
0.138,0.048690,0.012000,0.013783
0.139,0.048690,0.012000,0.014169
0.140,0.048690,0.012000,0.014169
0.141,0.048690,0.012000,0.014996
0.142,0.048690,0.012000,0.014996
0.143,0.048690,0.012000,0.015404
0.144,0.048690,0.012000,0.015404
0.145,0.048690,0.012000,0.016195
0.146,0.048690,0.012000,0.016195
0.147,0.048690,0.012000,0.016935
0.148,0.048690,0.012000,0.016935
0.149,0.048690,0.012000,0.017484
0.150,0.048690,0.012000,0.017484
0.151,0.048690,0.012000,0.018041
0.152,0.048690,0.012000,0.018041
0.153,0.048690,0.012000,0.017631
0.154,0.048690,0.012000,0.017631
0.155,0.048690,0.012000,0.018284
0.156,0.378451,0.012000,0.018284
0.157,0.378451,0.012000,0.004558
0.158,0.818133,0.012000,0.004558
0.159,0.818133,0.012000,0.004581
0.160,1.257815,0.012000,0.004581
0.161,1.257815,0.012000,0.006197
0.162,1.697497,0.012000,0.006197
0.163,1.697497,0.012000,0.007861
0.164,1.972299,0.012000,0.007861
0.165,1.972299,0.012000,0.009724
0.166,1.972299,0.012000,0.009724
0.167,1.972299,0.012000,0.009619
0.168,1.972299,0.012000,0.009619
0.169,1.972299,0.012000,0.010023
0.170,1.972299,0.012000,0.010023
0.171,1.972299,0.012000,0.010107
0.172,1.972299,0.012000,0.010107
0.173,1.972299,0.012000,0.010019
0.174,1.972299,0.012000,0.010019
0.175,1.972299,0.012000,0.010019
0.176,1.972299,0.012000,0.010607
0.177,1.972299,0.012000,0.010607
0.178,1.972299,0.012000,0.010141
0.179,1.972299,0.012000,0.010141
0.180,1.972299,0.012000,0.010828
0.181,1.972299,0.012000,0.010828
0.182,1.972299,0.012000,0.010399
0.183,1.972299,0.012000,0.010399
0.184,1.972299,0.012000,0.010973
0.185,1.972299,0.012000,0.010973
0.187,1.972299,0.012000,0.011156
0.188,1.972299,0.012000,0.011156
0.189,1.972299,0.012000,0.011182
0.190,1.972299,0.012000,0.011182
0.191,1.972299,0.012000,0.010981
0.192,1.972299,0.012000,0.010981
0.193,1.972299,0.012000,0.011351
0.194,1.972299,0.012000,0.011351
0.195,1.972299,0.012000,0.011275
0.196,1.972299,0.012000,0.011275
0.197,1.972299,0.012000,0.011566
0.198,1.972299,0.012000,0.011566
0.199,1.972299,0.012000,0.011431
0.200,1.972299,0.012000,0.011431
0.201,1.972299,0.012000,0.012082
0.202,1.972299,0.012000,0.012082
0.203,1.972299,0.012000,0.011978
0.204,1.972299,0.012000,0.011978
0.205,1.972299,0.012000,0.011930
0.206,1.972299,0.012000,0.011930
0.207,1.972299,0.012000,0.011686
0.208,1.972299,0.012000,0.011686
0.209,1.972299,0.012000,0.011503
0.210,1.920676,0.012000,0.011503
0.211,1.920676,0.012000,0.011332
0.212,1.817432,0.012000,0.011332
0.213,1.817432,0.012000,0.011756
0.214,1.765809,0.012000,0.011756
0.215,1.765809,0.012000,0.010950
0.216,1.662564,0.012000,0.010950
0.217,1.662564,0.012000,0.010367
0.218,1.559320,0.012000,0.010367
0.219,1.559320,0.012000,0.010793
0.220,1.507697,0.012000,0.010793
0.221,1.507697,0.012000,0.010285
0.222,1.507697,0.012000,0.010285
0.223,1.507697,0.012000,0.009318
0.224,1.507697,0.012000,0.009318
0.225,1.507697,0.012000,0.009461
0.226,1.507697,0.012000,0.009461
0.227,1.507697,0.012000,0.008461
0.228,1.507697,0.012000,0.008461
0.229,1.507697,0.012000,0.008640
0.230,1.507697,0.012000,0.008640
0.231,1.507697,0.012000,0.008449
0.232,1.507697,0.012000,0.008449
0.233,1.507697,0.012000,0.009182
0.234,1.507697,0.012000,0.009182
0.235,1.507697,0.012000,0.008998
